[2019-07-20 22:01:57.596] [genuine_logger] [info] Kepler Beacon started
[2019-07-20 22:02:57.646] [genuine_logger] [info] Creating id.dat. Attempting to create it in: C:\Users\aliPMPAINT\AppData\Local\Autodesk\Genuine Autodesk Service\id.dat
[2019-07-20 22:02:57.678] [genuine_logger] [info] Reading configuration from: C:\Users\aliPMPAINT\AppData\Local\Autodesk\Genuine Autodesk Service\GenuineAutodeskService.conf
[2019-07-20 22:02:57.679] [genuine_logger] [info] Config file contents:
[2019-07-20 22:02:57.679] [genuine_logger] [info] landing_page_url https://www.autodesk.com/genuine/resolve-non-genuine-autocad?mktvar002=726303&utm_medium=product&utm_source=ipm&utm_campaign=glob-mul-genuine-autocad&utm_id=726303
collector_svc_url https://api.genuine.autodesk.com/collection/clientproducts
notif_svc_url https://api.genuine.autodesk.com/notification/notificationserver
events_svc_url https://api.genuine.autodesk.com/collection/clientevents
config_svc_url https://api.genuine.autodesk.com/configurations/configuration 
*******************
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:768G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:786G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:651G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:767G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:958G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:241G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:782G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001G1:783G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001G1:257G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001G1:764G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001G1:777G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001H1:A78H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 768H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 767H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 769H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 782H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 781H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001H1:769H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.879] [genuine_logger] [info] Registering parameters for 001H1:766H1 : ACAD.EXE,Autodesk AutoCAD 2016
[2019-07-20 22:03:00.880] [genuine_logger] [info] Registering parameters for 001H1:765H1 : ACAD.EXE,Autodesk AutoCAD 2016
